bihari;бихари
speedometer;спидометр
tattle;сплетничать
infarction, heart attack;инфаркт
trepidation;трепет
inevitability;неизбежность
prattle;болтовня
bonito;бонито
sop;подачка
levitation;левитация
taipan;тайпан (змея)
cathartic;очищающий
enrollment;зачисление
prospectus;проспект
flabbergast;ошеломлять
khmer people;кхмеры (основное население камбоджи)
notarize;заверять нотариально
standardize;стандартизировать
butchery;бойня
lolo;лоло
chessboard;шахматная доска
desecration;осквернение
marchioness;маркиза
adjournment;отсрочка
waterman;лодочник
shoeshine;чистка обуви
cabernet;каберне
cheep;чирикать
literate;грамотный
paisa;пайса
surmise;предполагать
mull;обдумывать
miscalculate;просчитаться
bode;предвещать
colic;колика
ruskin;Рёскин
dali;Дали
sidle;двигаться боком
trove;клад
lymph;лимфа
payable;подлежащий оплате
acclaim;восхвалять
gild;позолотить
brisket;грудинка
tandem;тандем
lasso;лассо
pullman;спальный вагон
surfboard;доска для сёрфинга
arbor;беседка
salve;мазь
autonomy;автономия
scissor;резать ножницами
individuality;индивидуальность
waller;каменщик
contagion;зараза
pomp;пышность
gangrene;гангрена
celibate;целибат
constipate;вызывать запор
degradation;деградация
nix;ничто
bolshevik;большевик
erosion;эрозия
experimentation;экспериментирование
chowder;похлёбка
acne;акне
puree;пюре
glimmer;мерцание
sigma;сигма
fiji;Фиджи
sodom;Содом
sorcery;колдовство
polio;полиомиелит
overwork;переутомление
ordain;посвящать в сан
zee;зет
inauguration;инаугурация
plump;пухлый
scottie;шотландский терьер
madhouse;сумасшедший дом
cortez;Кортес
strife;раздор
stature;рост
fiat;декрет
gage;залог
krone;крона
documentation;документация
jiffy;мгновение
burp;отрыжка
ceremonial;церемониальный
intoxication;опьянение
contamination;загрязнение
fae;фея
succession;преемственность
mutton;баранина
gore;кровь и насилие
childbirth;роды
perjury;лжесвидетельство
io;Ио
wi;Висконсин
slater;кровельщик
salvage;спасать
benton;Бентон
hazel;орешник
clang;лязг
raft;плот
merit;заслуга
gravy;подливка
machinery;машинное оборудование
yale;Йельский университет
broom;метла
radius;радиус
bliss;блаженство
chester;Честер
moore;Мур
pinky;мизинец
vengeance;месть
dam;плотина
solitary;одиночный
terrace;терраса
overtime;сверхурочное время
gregory;Грегори
skipper;шкипер
probation;испытательный срок
ming;династия Мин
ta;спасибо
bruno;Бруно
pacific;Тихий океан
personnel;персонал
christopher;Кристофер
troy;Троя
fry;жарить
superman;супермен
permanent;постоянный
privacy;конфиденциальность
homeless;бездомный
bum;бродяга
britain;Британия
title;заголовок
prize;приз
amen;аминь
clue;подсказка
elizabeth;Елизавета
ordinary;обычный
chinese;китайский
health;здоровье
mommy;мамочка
sarah;Сара
spend;тратить
earth;земля
full;полный
people;люди
kovil;индуистский храм
paleoanthropologist;палеоантрополог
delusive;обманчивый
paten;дискос
secondarily;вторично
maun;должен
hyperextension;гиперэкстензия
mesilla;месилья
outre;эксцентричный
hereat;при этом
refigure;пересчитать
condign;заслуженный
ghostess;призрачная хозяйка
glutathione;глутатион
pyrethrum;пиретрум
eryx;удавчик
borsht;борщ
sociopolitical;социально-политический
cueca;куэка
tiddy;грудь
laughy;смешливый
omphalocele;омфалоцеле
muth;мут
passiveness;пассивность
cardiomegaly;кардиомегалия
gaullism;голлизм
crimeless;без преступлений
sidewards;в сторону
hoggy;свиноподобный
eimer;ведро
belligerency;воинственность
eyne;глаза
balnibarbi;Бальнибарби
