translation_id,source_word_id,target_word_id,source_word,target_word,source_word_example,target_word_example
4000001,4000003,4000004,agosto,август,,
4000002,4000005,4000006,auto,автомобиль,,
4000003,4000007,4000008,autor,автор,,
4000004,4000009,4000010,agente,агент,,
4000005,4000011,4000012,infierno/averno,ад,,
4000006,4000013,4000014,abogado,адвокат,,
4000007,4000015,4000016,acto,акт,,
4000008,4000017,4000018,inglés,английский,,
4000009,4000019,4000020,ejército,армия,,
4000010,4000021,4000022,ataque,атака,,
4000011,4000023,4000024,átomo,атом,,
4000012,4000025,4000026,banco,банк,,
4000013,4000027,4000028,lata,банка,,
4000014,4000029,4000030,pobre,бедный,,
4000015,4000031,4000032,correr,бежать,,
4000016,4000033,4000034,sin,без,,
4000017,4000035,4000036,blanco,белый,,
4000018,4000037,4000038,costa,берег,,
4000019,4000039,4000040,charla,беседа,,
4000020,4000041,4000042,preocupar,беспокоить,,
4000021,4000043,4000044,negocio,бизнес,,
4000022,4000045,4000046,bit,бит,,
4000023,4000047,4000048,bate,бита,,
4000024,4000049,4000050,brillo,блеск,,
4000025,4000051,4000052,cerca,близко,,
4000026,4000053,4000054,blog,блог,,
4000027,4000055,4000056,bloque,блок,,
4000028,4000057,4000058,dios,бог,,
4000029,4000059,4000060,rico,богатый,,
4000030,4000061,4000062,enfermedad,болезнь,,
4000031,4000063,4000064,dolor,боль,,
4000032,4000065,4000066,hospital,больница,,
4000033,4000067,4000068,grande,большой,,
4000034,4000069,4000070,lucha,борьба,,
4000035,4000071,4000072,zapato,ботинок,,
4000036,4000073,4000074,temer,бояться,,
4000037,4000075,4000076,hermano,брат,,
4000038,4000077,4000078,coger,брать/хватать,,
4000039,4000079,4000080,tomar,брать/принимать,,
4000040,4000081,4000082,brecha,брешь,,
4000041,4000083,4000084,echar,бросать/выбрасывать,,
4000042,4000085,4000086,lanzar,бросать/метать,,
4000043,4000087,4000088,tirar,бросать/выбрасывать мусор,,
4000044,4000089,4000090,barra,брусок,,
4000045,4000091,4000092,despertar,будить,,
4000046,4000093,4000094,futuro,будущее,,
4000047,4000095,4000096,letra,буква,,
4000048,4000097,4000098,papel,бумага,,
4000049,4000099,4000100,rápido,быстрый,,
4000050,4000101,4000102,estar,быть,,
4000051,4000103,4000104,ser,являться,,
4000052,4000105,4000106,baño,ванная,,
4000053,4000107,4000108,siglo,век,,
4000054,4000109,4000110,cuerda,верёвка,,
4000055,4000111,4000112,creer,верить,,
4000056,4000113,4000114,cierto,верный,,
4000057,4000115,4000116,cima,вершина,,
4000058,4000117,4000118,peso,вес,,
4000059,4000119,4000120,pesar,весить,,
