Words to Learn

Learned Words

The Rest
Yo soy estudiante;Я студент
Yo soy de Rusia;Я из России
Yo soy alto;Я высокий
Tú eres amable;Ты добрый
Tú eres inteligente;Ты умный
Tú eres mi amigo;Ты мой друг
Él es médico;Он врач
Él es simpático;Он приятный
Él es de España;Он из Испании
Ella es profesora;Она учительница
Ella es bonita;Она красивая
Ella es mi hermana;Она моя сестра
Nosotros somos familia;Мы семья
Nosotros somos estudiantes;Мы студенты
Nosotros somos amigos;Мы друзья
Vosotros sois españoles;Вы испанцы
Vosotros sois divertidos;Вы веселые
Vosotros sois trabajadores;Вы трудолюбивые
Ellos son hermanos;Они братья
Ellos son altos;Они высокие
Ellos son de México;Они из Мексики
Yo estoy en casa;Я дома
Yo estoy feliz;Я счастлив
Yo estoy ocupado;Я занят
Tú estás en la escuela;Ты в школе
Tú estás cansado;Ты уставший
Tú estás enfermo;Ты болен
Él está en el trabajo;Он на работе
Él está contento;Он доволен
Él está nervioso;Он нервничает
Ella está en el parque;Она в парке
Ella está triste;Она грустная
Ella está enojada;Она сердитая
Nosotros estamos en la playa;Мы на пляже
Nosotros estamos listos;Мы готовы
Nosotros estamos aburridos;Мы скучаем
Vosotros estáis en casa;Вы дома
Vosotros estáis contentos;Вы довольны
Vosotros estáis ocupados;Вы заняты
Ellos están en el cine;Они в кино
Ellos están cansados;Они уставшие
Ellos están felices;Они счастливы
Yo voy al mercado;Я иду на рынок
Yo voy a estudiar;Я собираюсь учиться
Yo voy con mis amigos;Я иду с друзьями
Tú vas a la tienda;Ты идешь в магазин
Tú vas a trabajar;Ты идешь на работу
Tú vas en autobús;Ты едешь на автобусе
Él va al gimnasio;Он идет в спортзал
Él va a dormir;Он собирается спать
Él va en coche;Он едет на машине
Ella va a la playa;Она идет на пляж
Ella va a cocinar;Она собирается готовить
Ella va en bicicleta;Она едет на велосипеде
Nosotros vamos al parque;Мы идем в парк
Nosotros vamos a cenar;Мы собираемся ужинать
Nosotros vamos en tren;Мы едем на поезде
Vosotros vais a la fiesta;Вы идете на вечеринку
Vosotros vais a cantar;Вы собираетесь петь
Vosotros vais en avión;Вы летите на самолете
Ellos van al museo;Они идут в музей
Ellos van a jugar;Они собираются играть
Ellos van en metro;Они едут на метро
A mí me gusta el café;Мне нравится кофе
A mí me gusta leer;Мне нравится читать
A mí me gusta viajar;Мне нравится путешествовать
A ti te gusta la música;Тебе нравится музыка
A ti te gusta bailar;Тебе нравится танцевать
A ti te gusta el deporte;Тебе нравится спорт
A él le gusta cocinar;Ему нравится готовить
A él le gusta el cine;Ему нравится кино
A él le gusta dormir;Ему нравится спать
A ella le gusta cantar;Ей нравится петь
A ella le gusta la playa;Ей нравится пляж
A ella le gusta estudiar;Ей нравится учиться
A nosotros nos gusta viajar;Нам нравится путешествовать
