translation_id,source_word_id,target_word_id,source_word,target_word,source_word_example,target_word_example
1000000,1000001,1000002,Soy estudiante,Я студент,Soy estudiante de medicina en la Universidad de Barcelona,Я студент медицинского факультета в Барселонском университете
1000001,1000003,1000004,Soy de Rusia,Я из России,Soy de Rusia pero llevo viviendo en España cinco años,"Я из России, но живу в Испании уже пять лет."
1000002,1000005,1000006,Soy alto,Я высокий,Soy alto; siempre llego a los estantes más altos,Я высокий; всегда достаю до самых верхних полок
1000003,1000007,1000008,Eres amable,Ты добрый,Eres amable por ayudar a esa anciana con sus compras,"Ты добрый, что помог той пожилой женщине с покупками."
1000004,1000009,1000010,Eres inteligente,Ты умный,Eres inteligente; siempre encuentras soluciones creativas,Ты умный; ты всегда находишь креативные решения
1000005,1000011,1000012,Eres mi amigo,Ты мой друг,Eres mi amigo desde que éramos niños,Ты мой друг с детства
1000006,1000013,1000014,Él es médico,Он врач,Él es médico especializado en cardiología,"Он врач, специализирующийся на кардиологии."
1000007,1000015,1000016,Él es simpático,Он приятный,Él es simpático; siempre tiene una sonrisa para todos,Он приятный; у него всегда есть улыбка для каждого
1000008,1000017,1000018,Él es de España,Он из Испании,Él es de España y habla catalán y castellano con fluidez,Он из Испании и свободно говорит на каталанском и кастильском языках
1000009,1000019,1000020,Ella es bonita,Она красивая,Ella es bonita y siempre tiene una sonrisa,Она красивая и всегда улыбается
1000010,1000021,1000022,Ella es mi hermana,Она моя сестра,Ella es mi hermana mayor y siempre me da buenos consejos,Она моя старшая сестра и всегда дает мне хорошие советы
1000011,1000023,1000024,Somos familia,Мы семья,Somos familia y siempre nos apoyamos mutuamente,Мы семья и всегда поддерживаем друг друга
1000012,1000025,1000026,Somos estudiantes,Мы студенты,Somos estudiantes de ingeniería en la Universidad Politécnica,Мы студенты инженерного факультета в Политехническом университете
1000013,1000027,1000028,Somos amigos,Мы друзья,Somos amigos desde la escuela primaria,Мы друзья со времен начальной школы
1000014,1000029,1000030,Sois españoles,Вы испанцы,Sois españoles y conocéis bien la cultura mediterránea,Вы испанцы и хорошо знаете средиземноморскую культуру
1000015,1000031,1000032,Sois divertidos,Вы весёлые,Sois divertidos; siempre animáis las fiestas,Вы весёлые; вы всегда оживляете вечеринки
1000016,1000033,1000034,Sois trabajadores,Вы трудолюбивые,Sois trabajadores y siempre cumplís con los plazos,Вы трудолюбивые и всегда выполняете работу в срок
1000017,1000035,1000036,Ellos son hermanos,Они братья,Ellos son hermanos gemelos y tienen gustos muy parecidos,Они братья-близнецы и у них очень похожие вкусы
1000018,1000037,1000038,Ellos son altos,Они высокие,Ellos son altos; destacan en cualquier grupo,Они высокие; выделяются в любой группе
1000019,1000039,1000040,Ellos son de México,Они из Мексики,Ellos son de México y preparan los mejores tacos que he probado,"Они из Мексики и готовят лучшие тако, которые я когда-либо пробовал."
1000020,1000041,1000042,Estoy en casa,Я дома,Estoy en casa trabajando en mi proyecto final,Я дома и работаю над своим дипломным проектом
1000021,1000043,1000044,Estoy feliz,Я счастлив,Estoy feliz porque acabo de graduarme de la universidad,"Я счастлив, потому что только что окончил университет."
1000022,1000045,1000046,Estoy ocupado,Я занят,Estoy ocupado preparando una presentación importante,Я занят подготовкой важной презентации
1000023,1000047,1000048,Estás en la escuela,Ты в школе,Estás en la escuela aprendiendo un nuevo idioma,Ты в школе и изучаешь новый язык
1000024,1000049,1000050,Estás cansado,Ты устал,Estás cansado después de correr el maratón,Ты устал после марафонского забега
1000025,1000051,1000052,Estás enfermo,Ты болен,Estás enfermo y deberías quedarte en cama hoy,Ты болен и тебе следует остаться сегодня в постели
1000026,1000053,1000054,Él está en el trabajo,Он на работе,Él está en el trabajo preparando un informe importante,Он на работе и готовит важный отчет
1000027,1000055,1000056,Él está contento,Он доволен,Él está contento porque consiguió un ascenso en su trabajo,"Он доволен, потому что получил повышение на работе."
1000028,1000057,1000058,Él está nervioso,Он нервничает,Él está nervioso porque tiene una entrevista de trabajo mañana,"Он нервничает, потому что завтра у него собеседование на работу."
1000029,1000059,1000060,Ella está en el parque,Она в парке,Ella está en el parque haciendo yoga con sus amigos,Она в парке и занимается йогой с друзьями
1000030,1000061,1000062,Ella está triste,Она грустна,Ella está triste porque su mejor amiga se muda a otra ciudad,"Она грустная, потому что ее лучшая подруга переезжает в другой город."
1000031,1000063,1000064,Ella está enojada,Она сердита,Ella está enojada porque perdió su teléfono en el autobús,"Она злится, потому что потеряла свой телефон в автобусе."
1000032,1000065,1000066,Estamos en la playa,Мы на пляже,Estamos en la playa disfrutando del sol y del mar,Мы на пляже и наслаждаемся солнцем и морем
1000033,1000067,1000068,Estamos listos,Мы готовы,Estamos listos para empezar nuestro viaje por Europa,Мы готовы начать наше путешествие по Европе
1000034,1000069,1000070,Estamos aburridos,Нам скучно,Estamos aburridos porque no hay nada interesante en la televisión,"Нам скучно, потому что по телевизору нет ничего интересного."
1000035,1000071,1000072,Estáis en casa,Вы дома,Estáis en casa preparando la cena para los invitados,Вы дома и готовите ужин для гостей
1000036,1000073,1000074,Estáis contentos,Вы довольны,Estáis contentos con los resultados del examen final,Вы довольны результатами выпускного экзамена
